"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상"
"서울특별시 성동구 송정동(1120072000)","10,510","10,510","477","557","1,679","1,578","1,502","1,916","1,694","755","307","44","1"
"서울특별시 성동구 용답동(1120079000)","11,703","11,703","351","590","2,277","1,701","1,587","2,094","1,650","975","433","43","2"
"서울특별시 광진구 (1121500000)","340,339","340,339","17,886","24,899","61,717","54,722","50,498","53,833","44,120","21,959","9,406","1,238","61"
"서울특별시 광진구 화양동(1121571000)","23,020","23,020","356","708","10,057","4,505","2,111","2,066","1,728","999","431","56","3"
"서울특별시 광진구 군자동(1121573000)","19,633","19,633","813","978","4,493","3,599","2,517","2,807","2,485","1,319","562","58","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,497","15,497","700","713","2,819","2,954","2,072","2,457","2,178","1,129","428","46","1"
"서울특별시 광진구 중곡제2동(1121575000)","21,476","21,476","1,065","1,326","3,744","3,874","2,973","3,451","2,974","1,461","533","73","2"
"서울특별시 광진구 중곡제3동(1121576000)","16,175","16,175","701","877","2,600","2,672","2,188","2,828","2,456","1,269","511","69","4"
"서울특별시 광진구 중곡제4동(1121577000)","28,609","28,609","1,297","1,839","4,322","4,199","3,935","5,218","4,581","2,282","828","100","8"
"서울특별시 광진구 능동(1121578000)","11,311","11,311","502","529","2,318","2,535","1,603","1,460","1,291","723","310","38","2"
"서울특별시 광진구 광장동(1121581000)","34,764","34,764","2,965","5,466","4,024","3,572","7,386","5,707","3,204","1,438","850","147","5"
"서울특별시 광진구 자양제1동(1121582000)","22,345","22,345","889","1,480","4,235","3,710","3,309","3,558","2,935","1,499","654","75","1"
"서울특별시 광진구 자양제2동(1121583000)","24,684","24,684","1,489","1,779","3,650","3,711","3,844","4,105","3,729","1,649","634","90","4"
"서울특별시 광진구 자양제3동(1121584000)","28,123","28,123","2,183","2,554","3,802","4,082","4,463","4,687","3,688","1,624","898","139","3"
"서울특별시 광진구 자양제4동(1121584700)","17,908","17,908","684","852","2,871","2,764","2,375","3,014","3,066","1,579","629","72","2"
"서울특별시 광진구 구의제1동(1121585000)","21,594","21,594","775","1,093","4,661","4,250","3,105","3,100","2,552","1,378","594","70","16"
"서울특별시 광진구 구의제2동(1121586000)","26,547","26,547","1,686","2,259","3,661","3,757","4,231","4,556","3,610","1,913","775","95","4"
"서울특별시 광진구 구의제3동(1121587000)","28,653","28,653","1,781","2,446","4,460","4,538","4,386","4,819","3,643","1,697","769","110","4"
"서울특별시 동대문구 (1123000000)","337,316","337,316","19,577","22,831","56,335","48,953","48,970","52,235","47,462","27,352","12,078","1,449","74"
"서울특별시 동대문구 용신동(1123053600)","30,960","30,960","1,194","1,377","6,187","5,454","4,102","4,566","4,310","2,470","1,165","128","7"
"서울특별시 동대문구 제기동(1123054500)","24,688","24,688","976","1,352","4,467","3,227","2,962","3,803","3,953","2,580","1,219","141","8"
"서울특별시 동대문구 전농제1동(1123056000)","29,298","29,298","1,789","1,825","4,496","4,109","4,223","4,811","4,319","2,474","1,120","123","9"
"서울특별시 동대문구 전농제2동(1123057000)","18,636","18,636","1,163","1,676","2,210","2,194","2,942","3,206","2,814","1,564","779","85","3"
"서울특별시 동대문구 답십리제1동(1123060000)","29,068","29,068","2,672","1,981","4,133","5,192","4,775","4,249","3,410","1,743","805","99","9"
"서울특별시 동대문구 답십리제2동(1123061000)","28,421","28,421","1,793","1,858","3,560","4,345","4,083","4,800","4,350","2,432","1,071","127","2"
"서울특별시 동대문구 장안제1동(1123065000)","38,279","38,279","2,358","2,601","5,298","6,219","6,216","5,963","5,576","2,882","1,032","127","7"
"서울특별시 동대문구 장안제2동(1123066000)","32,496","32,496","2,729","2,782","3,809","4,920","5,682","4,960","4,404","2,266","824","109","11"
"서울특별시 동대문구 청량리동(1123070500)","18,875","18,875","713","1,038","2,190","2,106","2,329","3,234","3,795","2,290","1,038","138","4"
"서울특별시 동대문구 회기동(1123071000)","10,520","10,520","402","676","3,356","1,501","1,267","1,221","1,002","668","376","49","2"
"서울특별시 동대문구 휘경제1동(1123072000)","13,900","13,900","809","767","3,587","2,176","1,689","1,918","1,540","932","426","53","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,158","24,158","1,136","2,008","5,495","2,915","3,406","3,537","3,015","1,797","753","94","2"
